,Detail_Short,Floor Size (in sqft),Last_Sold_Date,Last_Sold_Price,Locality,Lot_size,Number of Rooms,Postal_Code,Region,Street,Title,Type,Year_build
91,"20 Flower Hill Dr , Pennington, NJ 08534-5304 is currently not for sale. The 1,486 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1970 and last sold on 7/15/2020 for $240,000. View more property details, sales history and Zestimate data on Zillow.","1,776",07/15/20,"$240,000",Pennington,0.46 Acres,,8534,NJ,22 Flower Hill Dr,"20 Flower Hill Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,1970
92,"9 Linden Ln , Pennington, NJ 08534-2918 is currently not for sale. The 3,655 sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 1990 and last sold on 7/15/2020 for $760,000. View more property details, sales history and Zestimate data on Zillow.","4,516",07/15/20,"$760,000",Pennington,0.70 Acres,,8534,NJ,7 Linden Ln,"9 Linden Ln, Pennington, NJ 08534 | Zillow",Single Family Residence,1990
93,"421 S Main St , Pennington, NJ 08534-2716 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1890 and last sold on 7/15/2020 for $520,000. View more property details, sales history and Zestimate data on Zillow.","1,982",07/15/20,"$520,000",Pennington,0.94 Acres,4.0,8534,NJ,423 S Main St,"421 S Main St, Pennington, NJ 08534 | Zillow",Single Family Residence,1890
94,"103 Pierson Dr , Pennington, NJ 08534-1923 is currently not for sale. The 3,144 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 2004 and last sold on 7/15/2020 for $735,000. View more property details, sales history and Zestimate data on Zillow.","1,895",07/15/20,"$735,000",Pennington,1.10 Acres,3.0,8534,NJ,107 Pierson Dr,"103 Pierson Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
95,"12 Temple Ct , Pennington, NJ 08534-5150 is currently not for sale. The 2,230 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1997 and last sold on 7/14/2020 for $420,000. View more property details, sales history and Zestimate data on Zillow.","1,856",07/14/20,"$420,000",Pennington,"7,405 sqft",,8534,NJ,10 Temple Ct,"12 Temple Ct, Pennington, NJ 08534 | Zillow",Single Family Residence,1997
96,"332 Watkins Rd , Pennington, NJ 08534-5179 is currently not for sale. The 3,200 sq. ft. townhouse is a 3 bed, 4.0 bath unit. This townhouse was built in 1997 and last sold on 7/14/2020 for $425,000. View more property details, sales history and Zestimate data on Zillow.",,07/14/20,"$425,000",Pennington,No Data,3.0,8534,NJ,334 Watkins Rd,"332 Watkins Rd, Pennington, NJ 08534 | Zillow",Townhouse,1997
97,"18 Baker Way , Pennington, NJ 08534-4013 is currently not for sale. The 4,781 sq. ft. single-family home is a 4 bed, 6.0 bath property. This home was built in 2004 and last sold on 7/14/2020 for $755,000. View more property details, sales history and Zestimate data on Zillow.","5,420",07/14/20,"$755,000",Pennington,2.84 Acres,,8534,NJ,16 Baker Way,"18 Baker Way, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
98,"14 Timberlane Dr , Pennington, NJ 08534-1403 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1962 and last sold on 7/13/2020 for $475,000. View more property details, sales history and Zestimate data on Zillow.","1,548",07/13/20,"$475,000",Pennington,0.78 Acres,,8534,NJ,16 Timberlane Dr,"14 Timberlane Dr, Pennington, NJ 08534 | Zillow",SingleFamily,1962
99,"3 Orchard Ave , Pennington, NJ 08534-5211 is currently not for sale. The 1,627 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1957 and last sold on 6/5/2020 for $310,000. View more property details, sales history and Zestimate data on Zillow.","1,764",06/05/20,"$310,000",Pennington,0.34 Acres,5.0,8534,NJ,9 Orchard Ave,"3 Orchard Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1957
100,"48 E Curlis Ave , Pennington, NJ 08534-3311 is currently not for sale. The 3,040 sq. ft. single-family home is a 5 bed, 3.0 bath property. This home was built in 1955 and last sold on 6/4/2020 for $540,000. View more property details, sales history and Zestimate data on Zillow.",,06/04/20,"$540,000",Pennington,0.38 Acres,,8534,NJ,48 E Curlis Ave,"48 E Curlis Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1955
